iter	Passed	Remaining
0	2	2043
1	4	2069
2	5	1929
3	7	1830
4	9	1814
5	10	1783
6	12	1737
7	13	1730
8	15	1726
9	17	1711
10	18	1693
11	20	1677
12	22	1678
13	23	1667
14	25	1665
15	27	1662
16	28	1669
17	30	1679
18	32	1692
19	33	1630
20	34	1622
21	36	1623
22	38	1622
23	39	1612
24	41	1606
25	42	1600
26	44	1598
27	45	1594
28	47	1590
29	49	1611
30	51	1615
31	53	1613
32	54	1611
33	56	1614
34	58	1609
35	60	1613
36	62	1622
37	64	1632
38	66	1632
39	67	1628
40	69	1633
41	71	1636
42	73	1636
43	75	1634
44	77	1652
45	79	1649
46	81	1646
47	82	1645
48	84	1643
49	86	1638
50	87	1634
51	90	1648
52	92	1658
53	94	1657
54	96	1651
55	97	1647
56	99	1641
57	100	1637
58	102	1634
59	105	1651
60	107	1659
61	109	1654
62	110	1649
63	112	1644
64	114	1640
65	115	1637
66	117	1633
67	119	1638
68	122	1647
69	123	1647
70	125	1644
71	127	1639
72	128	1635
73	130	1631
74	131	1627
75	133	1627
76	135	1622
77	137	1620
78	138	1616
79	140	1612
80	141	1608
81	143	1605
82	145	1602
83	146	1600
84	148	1602
85	150	1599
86	153	1608
87	155	1607
88	156	1602
89	158	1597
90	159	1593
91	161	1593
92	163	1591
93	165	1593
94	167	1592
95	168	1589
96	170	1587
97	172	1584
98	173	1582
99	175	1579
100	177	1576
101	178	1574
102	180	1571
103	181	1567
104	183	1562
105	184	1557
106	186	1554
107	188	1552
108	189	1552
109	191	1548
110	193	1548
111	195	1547
112	196	1545
113	198	1542
114	199	1538
115	201	1536
116	203	1532
117	204	1529
118	206	1531
119	208	1529
120	210	1526
121	211	1523
122	213	1520
123	214	1517
124	216	1515
125	218	1515
126	220	1512
127	221	1509
128	223	1509
129	225	1508
130	227	1506
131	228	1504
132	230	1503
133	232	1499
134	233	1496
135	235	1493
136	236	1490
137	238	1488
138	239	1486
139	241	1484
140	243	1484
141	245	1482
142	247	1482
143	249	1480
144	251	1480
145	253	1480
146	255	1481
147	257	1484
148	259	1483
149	261	1481
150	262	1478
151	264	1475
152	266	1473
153	267	1470
154	269	1467
155	271	1468
156	273	1469
157	275	1466
158	276	1464
159	278	1461
160	279	1458
161	281	1455
162	283	1454
163	285	1454
164	286	1451
165	288	1448
166	289	1446
167	291	1443
168	293	1441
169	294	1438
170	296	1435
171	298	1434
172	300	1435
173	302	1433
174	303	1431
175	305	1428
176	306	1426
177	308	1423
178	309	1420
179	311	1418
180	313	1420
181	315	1418
182	317	1415
183	318	1413
184	320	1410
185	322	1409
186	323	1406
187	325	1404
188	326	1402
189	328	1400
190	330	1398
191	331	1395
192	333	1393
193	335	1392
194	337	1391
195	338	1389
196	340	1389
197	342	1387
198	344	1385
199	345	1382
200	347	1380
201	348	1377
202	350	1375
203	352	1373
204	353	1372
205	355	1370
206	357	1368
207	358	1366
208	360	1364
209	362	1362
210	363	1360
211	365	1360
212	368	1362
213	370	1361
214	372	1359
215	374	1358
216	376	1357
217	378	1357
218	380	1357
219	383	1359
220	385	1357
221	386	1356
222	388	1353
223	390	1351
224	391	1349
225	393	1347
226	395	1346
227	397	1345
228	399	1343
229	400	1341
230	402	1339
231	404	1337
232	405	1335
233	407	1333
234	409	1334
235	411	1332
236	413	1330
237	414	1328
238	416	1325
239	417	1323
240	419	1321
241	421	1318
242	423	1318
243	426	1320
244	428	1320
245	430	1319
246	432	1319
247	435	1319
248	437	1320
249	441	1324
250	443	1322
251	444	1320
252	446	1318
253	448	1316
254	449	1314
255	451	1311
256	453	1310
257	455	1308
258	456	1306
259	459	1308
260	461	1305
261	462	1303
262	464	1301
263	466	1300
264	468	1298
265	469	1296
266	471	1294
267	472	1291
268	474	1289
269	476	1287
270	477	1285
271	480	1284
272	481	1283
273	483	1281
274	485	1279
275	486	1276
276	488	1274
277	489	1272
278	491	1269
279	493	1268
280	494	1266
281	496	1264
282	498	1262
283	500	1260
284	501	1258
285	503	1256
286	506	1257
287	508	1256
288	510	1254
289	511	1252
290	513	1250
291	514	1248
292	516	1246
293	518	1243
294	519	1241
295	522	1242
296	524	1240
297	525	1238
298	527	1236
299	528	1233
300	530	1231
301	532	1229
302	533	1227
303	535	1226
304	537	1224
305	539	1222
306	540	1220
307	542	1218
308	543	1216
309	545	1213
310	547	1212
311	548	1209
312	550	1208
313	552	1207
314	554	1205
315	555	1203
316	557	1201
317	559	1199
318	561	1197
