iter	Passed	Remaining
0	2	2175
1	3	1837
2	5	1691
3	7	1744
4	8	1681
5	10	1662
6	11	1629
7	13	1624
8	14	1615
9	16	1591
10	17	1572
11	18	1555
12	20	1571
13	22	1562
14	23	1567
15	25	1562
16	27	1561
17	28	1564
18	30	1559
19	30	1504
20	32	1503
21	34	1518
22	35	1521
23	37	1516
24	39	1523
25	40	1522
26	42	1520
27	43	1523
28	45	1523
29	47	1524
30	48	1530
31	50	1534
32	52	1535
33	53	1533
34	55	1533
35	57	1531
36	58	1527
37	60	1524
38	61	1522
39	63	1519
40	64	1517
41	66	1512
42	67	1506
43	69	1501
44	70	1496
45	71	1491
46	73	1486
47	74	1482
48	76	1478
49	77	1475
50	79	1470
51	80	1467
52	81	1463
53	83	1459
54	84	1457
55	86	1453
56	87	1449
57	89	1446
58	90	1445
59	92	1443
60	93	1440
61	94	1436
62	96	1432
63	97	1428
64	99	1427
65	100	1423
66	101	1420
67	103	1419
68	105	1421
69	106	1418
70	108	1415
71	109	1411
72	110	1409
73	112	1406
74	113	1402
75	115	1400
76	116	1396
77	118	1394
78	119	1394
79	121	1392
80	122	1390
81	123	1386
82	125	1383
83	126	1379
84	127	1376
85	129	1373
86	130	1370
87	132	1369
88	134	1373
89	135	1373
90	137	1370
91	138	1367
92	139	1363
93	141	1360
94	142	1357
95	143	1355
96	145	1352
97	147	1355
98	148	1354
99	150	1352
100	151	1349
101	152	1346
102	154	1343
103	155	1341
104	157	1339
105	158	1337
106	160	1336
107	161	1335
108	163	1334
109	164	1332
110	166	1329
111	167	1327
112	168	1324
113	170	1322
114	171	1320
115	172	1317
116	174	1316
117	176	1319
118	177	1317
119	179	1315
120	180	1313
121	182	1311
122	183	1309
123	184	1306
124	186	1304
125	187	1302
126	189	1302
127	191	1302
128	193	1303
129	194	1301
130	195	1299
131	197	1299
132	199	1298
133	200	1296
134	202	1295
135	204	1296
136	205	1295
137	207	1293
138	208	1292
139	210	1290
140	211	1288
141	213	1287
142	214	1285
143	216	1285
144	218	1285
